id_transaccion,fecha_hora_trans,monto_trans,estado_trans,tipo_trans,id_cliente,id_plataforma
TXN073,2024-06-21 06:00:00,50713,Fallida,Pago de Factura,915064128,1
TXN074,2024-06-29 18:00:00,129480,Completada,Pago de Factura,11426912,1
TXN075,2024-07-03 20:00:00,41657,Completada,Pago de Factura,174039328,2
TXN076,2024-06-15 11:00:00,126084,Completada,Pago de Factura,565067343,2
TXN077,2024-06-04 07:00:00,190936,Fallida,Pago de Factura,333387701,1
TXN078,2024-06-21 21:00:00,78561,Fallida,Pago de Factura,355405632,1
TXN079,2024-07-23 11:00:00,162844,Completada,Pago de Factura,71585472,1
TXN080,2024-06-29 15:00:00,80235,Fallida,Pago de Factura,708960117,1
TXN081,2024-06-18 00:00:00,158138,Pendiente,Pago de Factura,626043010,2
TXN082,2024-06-06 15:00:00,101593,Pendiente,Pago de Factura,326481119,2
TXN083,2024-06-22 03:00:00,103741,Pendiente,Pago de Factura,599800533,2
TXN084,2024-07-04 02:00:00,41300,Pendiente,Pago de Factura,492953650,2
TXN085,2024-06-19 11:00:00,89956,Completada,Pago de Factura,573712035,2
TXN086,2024-07-13 05:00:00,165402,Completada,Pago de Factura,56103750,1
TXN087,2024-07-04 09:00:00,106689,Pendiente,Pago de Factura,867865303,1
TXN088,2024-06-14 11:00:00,22411,Completada,Pago de Factura,355813998,1
TXN089,2024-06-27 05:00:00,11359,Pendiente,Pago de Factura,118434130,2
TXN090,2024-06-08 10:00:00,79808,Pendiente,Pago de Factura,779362405,1
TXN091,2024-07-05 21:00:00,42648,Pendiente,Pago de Factura,499561637,1
TXN092,2024-06-03 05:00:00,101468,Pendiente,Pago de Factura,179287266,2
TXN093,2024-06-21 17:00:00,115488,Pendiente,Pago de Factura,667230218,2
TXN094,2024-07-26 00:00:00,61920,Completada,Pago de Factura,311310607,2
TXN095,2024-07-23 20:00:00,141510,Fallida,Pago de Factura,319413369,1
TXN096,2024-07-08 19:00:00,39792,Pendiente,Pago de Factura,861461933,2
TXN097,2024-07-09 05:00:00,87689,Completada,Pago de Factura,61660425,2
TXN098,2024-07-06 00:00:00,178739,Fallida,Pago de Factura,603449840,1
TXN099,2024-07-27 10:00:00,105611,Fallida,Pago de Factura,917844640,2
TXN100,2024-07-11 07:00:00,141787,Fallida,Pago de Factura,843106189,2
